	PROBLEM		TYPE		# ROWS(UP/LOW) #COLS(UP/LOW)
        K5020W19.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W20.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5030W01.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W02.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W03.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W04.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W05.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W06.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W07.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W08.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W09.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W10.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W11.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W12.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W13.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W14.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W15.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W16.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W17.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W18.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W19.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5030W20.KNP 		Interdiction 	31(1,30)		60(30,30)
        K5040W01.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W02.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W03.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W04.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W05.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W06.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W07.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W08.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W09.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W10.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W11.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W12.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W13.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W14.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W15.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W16.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W17.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W18.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W19.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5040W20.KNP 		Interdiction 	41(1,40)		80(40,40)
        K5050W01.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W02.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W03.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W04.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W05.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W06.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W07.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W08.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W09.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W10.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W11.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W12.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W13.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W14.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W15.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W16.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W17.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W18.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W19.KNP 		Interdiction 	51(1,50)		100(50,50)
        K5050W20.KNP 		Interdiction 	51(1,50)		100(50,50)
    GEN_K5010W01.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W02.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W03.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W04.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W05.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W06.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W07.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W08.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W09.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W10.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W11.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W12.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W13.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W14.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W15.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W16.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W17.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W18.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W19.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5010W20.KNP 		Interdiction 	11(1,10)		20(10,10)
    GEN_K5011W01.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W02.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W03.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W04.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W05.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W06.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W07.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W08.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W09.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W10.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W11.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W12.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W13.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W14.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W15.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W16.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W17.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W18.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W19.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5011W20.KNP 		Interdiction 	12(1,11)		22(11,11)
    GEN_K5012W01.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W02.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W03.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W04.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W05.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W06.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W07.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W08.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W09.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W10.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W11.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W12.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W13.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W14.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W15.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W16.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W17.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W18.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W19.KNP 		Interdiction 	13(1,12)		24(12,12)
    GEN_K5012W20.KNP 		Interdiction 	13(1,12)		24(12,12)
        F5010W01.KNP 		Interdiction 	11(1,10)		20(10,10)
               P0033 			Not Interdiction 	16(16,0)		45(45,0)
        knapsack.mps 		Not Interdiction 	9(1,8)		14(7,7)
           linderoth 			Not Interdiction 	5(2,3)		6(4,2)
   milp_4_20_10_0110 		Not Interdiction 	4(0,4)		20(10,10)
  milp_10_20_50_2310 		Not Interdiction 	10(0,10)		20(10,10)
             moore90 			Not Interdiction 	4(0,4)		2(1,1)
           moore90_2 		Not Interdiction 	 3(0,3)		2(1,1)
       int0sum_i0_10 		Not Interdiction 	 8(4,4)		20(10,10)
       int0sum_i0_60 		Not Interdiction 	 48(24,24)	120(60,60)
      int0sum_i0_110 		Not Interdiction 	 88(44,44)	220(110,110)
      int0sum_i0_160 		Not Interdiction 	 128(64,64)	320(160,160)
      int0sum_i0_210 		Not Interdiction 	 168(84,84)	420(210,210)
      int0sum_i0_260 		Not Interdiction 	 208(104,104)	520(260,260)
      int0sum_i0_310 		Not Interdiction 	 248(124,124)	620(310,310)
      int0sum_i0_360 		Not Interdiction 	 288(144,144)	720(360,360)
